Rank,Entity,Count,Percentage
1,one,625,1.39%
2,india,447,1.00%
3,first,442,0.99%
4,both,415,0.92%
5,god,369,0.82%
6,each,293,0.65%
7,christ,292,0.65%
8,today,270,0.60%
9,buddha,264,0.59%
10,ram dass,253,0.56%
11,two,252,0.56%
12,maharaj-ji,235,0.52%
13,earth,202,0.45%
14,r ram dass,184,0.41%
15,new york,182,0.41%
16,tonight,173,0.39%
17,america,157,0.35%
18,yesterday,156,0.35%
19,first time,155,0.35%
20,tomorrow,150,0.33%
21,gandhi,147,0.33%
22,tibetan,143,0.32%
23,krishna,137,0.31%
24,each person,134,0.30%
25,jesus,132,0.29%
26,one thing,127,0.28%
27,3,125,0.28%
28,united states,125,0.28%
29,jewish,117,0.26%
30,last night,116,0.26%
31,one point,116,0.26%
32,indian,109,0.24%
33,one person,108,0.24%
34,emmanuel,107,0.24%
35,ram,107,0.24%
36,hanuman,106,0.24%
37,2,106,0.24%
38,two things,105,0.23%
39,60s,100,0.22%
40,one level,99,0.22%
41,boston,98,0.22%
42,california,96,0.21%
43,each time,96,0.21%
44,new york city,95,0.21%
45,last year,94,0.21%
46,5,82,0.18%
47,4,82,0.18%
48,chinese,82,0.18%
49,buddhist,81,0.18%
50,each one,81,0.18%
51,seva foundation,80,0.18%
52,bible,80,0.18%
53,10,79,0.18%
54,ramana maharshi,78,0.17%
55,harvard,78,0.17%
56,shiva,77,0.17%
57,hindu,77,0.17%
58,first thing,76,0.17%
59,tim,75,0.17%
60,san francisco,75,0.17%
61,two people,72,0.16%
62,seva,71,0.16%
63,los angeles,70,0.16%
64,english,68,0.15%
65,first one,68,0.15%
66,second,66,0.15%
67,next day,66,0.15%
68,ramakrishna,64,0.14%
69,richard alpert,63,0.14%
70,nepal,62,0.14%
71,each day,62,0.14%
72,tim leary,58,0.13%
73,kabir,58,0.13%
74,burma,58,0.13%
75,one moment,57,0.13%
76,john,56,0.12%
77,this morning,56,0.12%
78,einstein,55,0.12%
79,delhi,55,0.12%
80,mary,54,0.12%
81,mahatma gandhi,54,0.12%
82,this year,54,0.12%
83,chicago,53,0.12%
84,new hampshire,53,0.12%
85,1,53,0.12%
86,third,53,0.12%
87,new mexico,52,0.12%
88,10 years,52,0.12%
89,one day,52,0.12%
90,6,51,0.11%
91,last week,51,0.11%
92,40,50,0.11%
93,don juan,50,0.11%
94,jai,50,0.11%
95,guatemala,49,0.11%
96,5 minutes,49,0.11%
97,3 times,49,0.11%
98,r ram,49,0.11%
99,couple,49,0.11%
100,20 years,48,0.11%
101,5 years,48,0.11%
102,himalayas,48,0.11%
103,3rd,48,0.11%
104,one plane,48,0.11%
105,8,47,0.10%
106,alan watts,47,0.10%
107,20,47,0.10%
108,next week,47,0.10%
109,20 years ago,47,0.10%
110,neem karoli baba,46,0.10%
111,maharaj,46,0.10%
112,12,46,0.10%
113,2 years,45,0.10%
114,two planes,45,0.10%
115,one way,45,0.10%
116,60,44,0.10%
117,twice,44,0.10%
118,dalai lama,44,0.10%
119,sita,43,0.10%
120,freud,43,0.10%
121,africa,43,0.10%
122,thousands,43,0.10%
123,ramm,42,0.09%
124,william james,42,0.09%
125,50,42,0.09%
126,9,42,0.09%
127,allah,42,0.09%
128,2nd,41,0.09%
129,10 years ago,41,0.09%
130,japanese,41,0.09%
131,japan,40,0.09%
132,ramam,40,0.09%
133,england,40,0.09%
134,20 minutes,40,0.09%
135,volkswagen,40,0.09%
136,this week,40,0.09%
137,jew,40,0.09%
138,wavy gravy,39,0.09%
139,karma,39,0.09%
140,first part,39,0.09%
141,3 months,38,0.08%
142,three,38,0.08%
143,each moment,38,0.08%
144,2 hours,37,0.08%
145,maharaji,37,0.08%
146,washington,37,0.08%
147,millions,37,0.08%
148,each individual,37,0.08%
149,richard alpert alpert,36,0.08%
150,two levels,36,0.08%
151,sanskrit,36,0.08%
152,david,35,0.08%
153,70s,35,0.08%
154,4th chakra,35,0.08%
155,next morning,35,0.08%
156,this evening,35,0.08%
157,sam,34,0.08%
158,10 minutes,34,0.08%
159,30 years,34,0.08%
160,baba,34,0.08%
161,emanuel,33,0.07%
162,an hour,33,0.07%
163,ramda,32,0.07%
164,1967,32,0.07%
165,3 days,32,0.07%
166,2 months,32,0.07%
167,each breath,32,0.07%
168,second one,32,0.07%
169,paul gorman,31,0.07%
170,rama,31,0.07%
171,mexico,31,0.07%
172,vishnu,31,0.07%
173,miracle of love,31,0.07%
174,4th,31,0.07%
175,timothy,30,0.07%
176,timothy leary,30,0.07%
177,berkeley,30,0.07%
178,vietnam,30,0.07%
179,calcutta,30,0.07%
180,third eye,30,0.07%
181,two beings,30,0.07%
182,one place,30,0.07%
183,alan,29,0.06%
184,europe,29,0.06%
185,aldous huxley,29,0.06%
186,tibet,29,0.06%
187,tokyo,29,0.06%
188,bangladesh,29,0.06%
189,25 years,29,0.06%
190,8 hours,29,0.06%
191,2 days,29,0.06%
192,christianity,29,0.06%
193,second chakra,29,0.06%
194,first day,29,0.06%
195,one night,29,0.06%
196,a year,29,0.06%
197,american,29,0.06%
198,one side,29,0.06%
199,la,28,0.06%
200,7,28,0.06%
201,rumi,28,0.06%
202,monday,28,0.06%
203,6 months,28,0.06%
204,3 hours,27,0.06%
205,10 days,27,0.06%
206,casper weinberger,27,0.06%
207,sunday,27,0.06%
208,hundreds,27,0.06%
209,76,27,0.06%
210,5 years ago,27,0.06%
211,joe,26,0.06%
212,chris,26,0.06%
213,30,26,0.06%
214,4 minutes,26,0.06%
215,maharajji,26,0.06%
216,15 minutes,26,0.06%
217,2 weeks,26,0.06%
218,israel,26,0.06%
219,3 years,26,0.06%
220,one time,26,0.06%
221,hindi,26,0.06%
222,hawaii,25,0.06%
223,1968,25,0.06%
224,1970,25,0.06%
225,mayor,25,0.06%
226,aikido,25,0.06%
227,second thing,25,0.06%
228,few years ago,25,0.06%
229,larry,24,0.05%
230,lakshman,24,0.05%
231,canada,24,0.05%
232,dick,24,0.05%
233,allen ginsberg,24,0.05%
234,9 days,24,0.05%
235,marin,24,0.05%
236,one leg,24,0.05%
237,each thought,24,0.05%
238,one second,24,0.05%
239,one woman,24,0.05%
240,each thing,24,0.05%
241,single,24,0.05%
242,this afternoon,24,0.05%
243,steven,23,0.05%
244,steven levine,23,0.05%
245,george,23,0.05%
246,bob,23,0.05%
247,switzerland,23,0.05%
248,1973,23,0.05%
249,hanuman foundation,23,0.05%
250,1961,23,0.05%
251,russia,23,0.05%
252,40 years,23,0.05%
253,next year,23,0.05%
254,lord,23,0.05%
255,third chakra,23,0.05%
256,first place,23,0.05%
257,paul,22,0.05%
258,world health organization,22,0.05%
