Rank,Word,Count,Percentage
1,first,1555,1.55%
2,years,1387,1.38%
3,people,1211,1.21%
4,thing,981,0.98%
5,mind,937,0.93%
6,new,770,0.77%
7,ram,760,0.76%
8,india,755,0.75%
9,time,624,0.62%
10,god,609,0.61%
11,person,603,0.60%
12,whole,535,0.53%
13,things,521,0.52%
14,dass,510,0.51%
15,way,497,0.50%
16,year,481,0.48%
17,day,466,0.46%
18,minutes,458,0.46%
19,ago,456,0.45%
20,life,430,0.43%
21,game,418,0.42%
22,world,418,0.42%
23,last,415,0.41%
24,body,409,0.41%
25,universe,404,0.40%
26,second,404,0.40%
27,place,389,0.39%
28,next,384,0.38%
29,york,378,0.38%
30,days,377,0.38%
31,christ,353,0.35%
32,moment,344,0.34%
33,heart,335,0.33%
34,part,331,0.33%
35,america,318,0.32%
36,earth,313,0.31%
37,room,299,0.30%
38,old,297,0.30%
39,months,297,0.30%
40,hours,292,0.29%
41,process,287,0.29%
42,buddha,285,0.28%
43,today,279,0.28%
44,eyes,277,0.28%
45,chakra,277,0.28%
46,night,273,0.27%
47,plane,266,0.27%
48,city,262,0.26%
49,week,260,0.26%
50,maharaj-ji,258,0.26%
51,car,254,0.25%
52,morning,252,0.25%
53,third,251,0.25%
54,krishna,251,0.25%
55,space,246,0.25%
56,point,234,0.23%
57,level,233,0.23%
58,later,231,0.23%
59,consciousness,230,0.23%
60,sense,229,0.23%
61,gandhi,227,0.23%
62,different,226,0.23%
63,united,226,0.23%
64,predicament,220,0.22%
65,culture,219,0.22%
66,times,219,0.22%
67,awareness,219,0.22%
68,spiritual,219,0.22%
69,nature,217,0.22%
70,alpert,207,0.21%
71,another,206,0.21%
72,states,206,0.21%
73,experience,203,0.20%
74,system,203,0.20%
75,california,200,0.20%
76,mother,197,0.20%
77,baba,197,0.20%
78,situation,196,0.20%
79,breath,195,0.19%
80,weeks,194,0.19%
81,family,190,0.19%
82,seva,189,0.19%
83,foundation,189,0.19%
84,truth,187,0.19%
85,question,186,0.19%
86,tomorrow,186,0.19%
87,society,185,0.18%
88,group,184,0.18%
89,miles,184,0.18%
90,end,181,0.18%
91,tonight,178,0.18%
92,jesus,175,0.17%
93,tibetan,174,0.17%
94,trip,167,0.17%
95,hanuman,167,0.17%
96,book,164,0.16%
97,human,163,0.16%
98,yesterday,163,0.16%
99,john,161,0.16%
100,clock,159,0.16%
101,hands,158,0.16%
102,indian,158,0.16%
103,words,156,0.16%
104,tim,154,0.15%
105,richard,154,0.15%
106,reality,153,0.15%
107,hour,153,0.15%
108,certain,151,0.15%
109,children,151,0.15%
110,hand,149,0.15%
111,love,148,0.15%
112,ways,143,0.14%
113,method,139,0.14%
114,role,138,0.14%
115,thousands,137,0.14%
116,thoughts,136,0.14%
117,maharshi,136,0.14%
118,man,135,0.13%
119,mantra,135,0.13%
120,san,134,0.13%
121,boston,133,0.13%
122,father,133,0.13%
123,incarnation,131,0.13%
124,state,130,0.13%
125,power,130,0.13%
126,death,129,0.13%
127,stage,129,0.13%
128,practice,129,0.13%
129,story,129,0.13%
130,jewish,129,0.13%
131,stuff,126,0.13%
132,great,126,0.13%
133,million,126,0.13%
134,country,125,0.12%
135,energy,124,0.12%
136,problem,123,0.12%
137,physical,123,0.12%
138,line,122,0.12%
139,act,121,0.12%
140,yoga,120,0.12%
141,karma,119,0.12%
142,mexico,118,0.12%
143,form,117,0.12%
144,feet,117,0.12%
145,path,116,0.12%
146,soul,115,0.11%
147,emmanuel,114,0.11%
148,half,114,0.11%
149,journey,112,0.11%
150,community,112,0.11%
151,model,111,0.11%
152,house,111,0.11%
153,inner,109,0.11%
154,harvard,108,0.11%
155,head,107,0.11%
156,beings,106,0.11%
157,levels,106,0.11%
158,couple,105,0.10%
159,spirit,104,0.10%
160,minds,104,0.10%
161,food,103,0.10%
162,money,103,0.10%
163,friends,102,0.10%
164,word,102,0.10%
165,lot,101,0.10%
166,planes,101,0.10%
167,little,101,0.10%
168,big,100,0.10%
169,leary,99,0.10%
170,action,98,0.10%
171,francisco,97,0.10%
172,child,97,0.10%
173,chinese,97,0.10%
174,buddhist,97,0.10%
175,fire,95,0.09%
176,name,94,0.09%
177,side,94,0.09%
178,work,94,0.09%
179,ramana,94,0.09%
180,shiva,93,0.09%
181,guy,92,0.09%
